Branch,Season,Type,Sample,Temp,Turbidity,Colour,pH,Alkalinity,Hardness,Iron,Ammonia,Chloride
Tripureshwor,Summer,Dug well,Un-treated,28.60,3.20,0.50,8.00,192.00,411.00,1.00,15.10,69.00
Tripureshwor,Summer,Dug well,Un-treated,27.80,2.40,1.20,8.10,171.00,223.00,2.20,113.00,52.00
Tripureshwor,Summer,Dug well,Un-treated,29.40,4.10,2.20,8.30,277.00,132.00,2.60,92.00,63.00
Tripureshwor,Summer,Dug well,Un-treated,28.90,2.60,1.20,8.40,311.00,142.00,3.00,3.04,42.00
Tripureshwor,Summer,Dug well,Un-treated,29.80,6.50,7.80,8.60,298.00,152.00,1.10,33.10,14.00
Tripureshwor,Summer,Dug well,Un-treated,27.80,4.20,3.60,8.70,87.00,301.00,1.30,15.01,22.00
Tripureshwor,Summer,Dug well,Un-treated,30.10,2.30,1.30,8.90,98.00,101.00,3.00,4.01,61.00
Tripureshwor,Summer,Dug well,Un-treated,30.50,1.30,3.10,8.80,102.00,89.00,0.40,4.03,61.00
Tripureshwor,Summer,Dug well,Un-treated,30.20,2.30,0.90,8.70,300.00,92.00,2.30,6.01,29.00
Baneshwor,Summer,Dug well,Un-treated,29.70,2.20,2.12,8.20,1011.00,70.00,3.00,129.00,62.39
Baneshwor,Summer,Dug well,Un-treated,28.50,2.40,3.42,8.60,140.00,84.00,3.10,130.00,63.11
Baneshwor,Summer,Dug well,Un-treated,30.20,1.30,1.24,8..6,137.00,89.00,3.00,111.00,64.12
Baneshwor,Summer,Dug well,Un-treated,28.90,2.50,3.21,8.70,87.00,137.00,2.50,187.00,58.11
Baneshwor,Summer,Dug well,Un-treated,30.20,6.20,5.74,8.70,52.00,84.00,0.50,192.00,59.11
Baneshwor,Summer,Dug well,Un-treated,29.40,2.10,1.09,8.60,92.00,72.00,0.60,92.00,56.11
Baneshwor,Summer,Dug well,Un-treated,29.60,4.20,2.19,8.70,806.00,56.00,0.40,81.00,54.11
Baneshwor,Summer,Dug well,Un-treated,28.50,1.20,2.29,8.80,702.00,89.00,1.00,110.00,59.11
Baneshwor,Summer,Dug well,Un-treated,29.80,3.20,1.03,8.90,720.00,501.00,1.00,139.00,54.26
Baneshwor,Summer,Dug well,Un-treated,30.10,1.20,2.21,6.70,929.00,106.00,2.60,144.00,53.11
Baneshwor,Summer,Dug well,Un-treated,29.80,15.31,12.12,8.70,823.00,301.00,3.00,159.00,54.11
Baneshwor,Summer,Dug well,Un-treated,28.80,2.20,1.32,8.60,726.00,309.00,3.10,3.04,53.20
Baneshwor,Summer,Dug well,Un-treated,29.10,2.40,1.11,8.80,52.00,206.00,2.60,8.04,51.11
Baneshwor,Summer,Dug well,Un-treated,30.50,2.50,2.22,8.90,94.00,504.00,2.10,7.02,51.11
Baneshwor,Summer,Dug well,Un-treated,31.10,2.30,1.34,8.40,113.00,501.00,2.10,7.01,51.20
Bansbari,Summer,Dug well,Un-treated,30.40,2.90,1.02,8.60,1123.00,542.00,4.10,122.10,69.10
Bansbari,Summer,Dug well,Un-treated,28.90,3.10,2.68,8.70,984.00,96.00,4.10,112.12,72.19
Bansbari,Summer,Dug well,Un-treated,29.50,4.10,0.98,8.10,981.00,501.00,4.00,102.10,59.11
Bansbari,Summer,Dug well,Un-treated,28.70,1.20,1.58,8.60,1012.00,522.00,2.20,92.10,63.18
Bansbari,Summer,Dug well,Un-treated,29.50,2.70,2.97,8.00,192.00,501.00,3.00,3.02,79.14
Bansbari,Summer,Dug well,Un-treated,30.10,2.20,3.29,7.50,139.00,96.00,1.40,3.17,60.84
Bansbari,Summer,Dug well,Un-treated,29.40,2.30,1.34,6.40,186.00,91.00,3.10,10.98,59.84
Bansbari,Summer,Dug well,Un-treated,30.10,11.20,9.98,7.30,191.00,101.00,4.10,19.11,61.89
Bansbari,Summer,Dug well,Un-treated,29.80,2.20,1.22,8.10,156.00,109.00,1.20,21.10,70.82
Bansbari,Summer,Dug well,Un-treated,30.10,1.80,2.22,8.60,144.00,84.00,2.20,33.10,80.41
Bansbari,Summer,Dug well,Un-treated,29.70,2.90,3.13,8.90,1011.00,70.00,2.40,14.19,92.22
Bansbari,Summer,Dug well,Un-treated,28.30,1.80,1.21,7.10,191.00,96.00,2.90,44.01,92.11
Bansbari,Summer,Dug well,Un-treated,30.20,2.30,2.34,6.90,302.00,91.00,2.30,56.10,61.12
Bansbari,Summer,Dug well,Un-treated,29.30,5.90,6.30,8.10,301.00,81.00,2.40,51.10,79.11
Bansbari,Summer,Dug well,Un-treated,29.80,1.20,1.30,8.90,1056.00,69.00,2.10,52.10,81.22
Chhetrapati,Summer,Dug well,Un-treated,30.10,2.80,1.11,8.00,1156.00,54.00,3.50,129.10,61.09
Chhetrapati,Summer,Dug well,Un-treated,29.30,3.10,1.09,8.10,135.00,456.00,3.10,10.10,63.04
Chhetrapati,Summer,Dug well,Un-treated,28.40,4.20,2.12,8.60,236.00,312.00,2.20,3.04,61.06
Chhetrapati,Summer,Dug well,Un-treated,28.90,2.10,2.13,7.90,87.00,512.00,3.10,3.04,58.56
Chhetrapati,Summer,Dug well,Un-treated,27.70,1.20,4.12,8.60,911.00,544.00,2.30,4.01,59.01
Chhetrapati,Summer,Dug well,Un-treated,30.20,16.10,12.11,5.50,87.00,594.00,2.10,4.05,61.13
Chhetrapati,Summer,Dug well,Un-treated,29.30,2.10,2.21,7.50,139.00,578.00,2.30,3.10,63.10
Chhetrapati,Summer,Dug well,Un-treated,29.70,1.60,2.22,8.80,144.00,567.00,3.10,3.12,62.01
Chhetrapati,Summer,Dug well,Un-treated,28.90,1.20,2.98,8.00,211.00,589.00,1.40,4.11,72.01
Chhetrapati,Summer,Dug well,Un-treated,30.90,2.20,1.09,8.10,111.00,544.00,3.10,3.19,73.10
Chhetrapati,Summer,Dug well,Un-treated,28.90,3.20,2.22,8.50,310.00,566.00,3.20,4.10,60.12
Chhetrapati,Summer,Dug well,Un-treated,30.70,4.50,3.33,8.00,710.00,677.00,3.00,5.04,63.01
Chhetrapati,Summer,Dug well,Un-treated,29.40,7.10,6.33,8.20,812.00,588.00,3.10,6.21,59.01
Chhetrapati,Summer,Dug well,Un-treated,28.80,1.20,1.22,8.30,115.00,582.00,1.20,3.20,60.11
Chhetrapati,Summer,Dug well,Un-treated,29.40,2.20,2.56,8.90,123.00,532.00,3.10,3.19,63.02
Tripureshwor,Winter,Tap water,Treated,20.10,2.00,1.20,8.10,80.00,98.00,0.30,0.15,12.97
Tripureshwor,Winter,Tap water,Treated,21.20,1.10,2.10,8.30,97.00,91.00,0.50,0.78,16.92
