ID,SCH_NAME,GENDER,LEVEL,EDUCATION,EXPERIENCE,KA1,KA2,KA3,KA4,KA5,KA6,TS1,TS2,TS3,TS4,TS5,TS6,IS1,IS2,IS3,IS4,IS5,IS6,IP1,IP2,IP3,IP4,IP5,IP6,TP1,TP2,TP3,TP4,TP5,TP6
5,RAJDEVI THAKIDEVU JOGENDRA BHAGAT  MA VI,MALE,SECONDARY TEACHER,MASTERS,BELOW 10 YEARS,5,5,4,5,5,4,5,5,5,4,4,3,3,4,3,4,3,4,5,5,4,4,4,3,4,4,4,4,5,5
6,RAJDEVI THAKIDEVU JOGENDRA BHAGAT  MA VI,FEMALE,OTHERS,MASTERS,10-20 YEARS,4,2,4,4,3,3,4,2,3,4,3,4,4,4,4,4,5,5,4,4,4,4,4,5,4,4,4,4,4,4
7,RAJDEVI THAKIDEVU JOGENDRA BHAGAT  MA VI,FEMALE,OTHERS,BACHERLORS,BELOW 10 YEARS,5,4,4,4,4,4,2,2,1,2,1,3,4,3,1,4,5,5,4,5,3,4,4,4,3,5,4,4,4,3
8,RAJDEVI THAKIDEVU JOGENDRA BHAGAT  MA VI,FEMALE,SECONDARY TEACHER,MASTERS,ABOVE 30 YEARS,5,3,5,5,5,5,4,4,4,5,1,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
9,RAJDEVI THAKIDEVU JOGENDRA BHAGAT  MA VI,FEMALE,SECONDARY TEACHER,BACHERLORS,BELOW 10 YEARS,5,3,4,4,5,4,1,3,3,4,1,3,5,5,3,3,5,4,5,4,3,5,5,5,3,3,4,3,4,4
10,RAJDEVI THAKIDEVU JOGENDRA BHAGAT  MA VI,MALE,LOWER SECONDARY TEACHER,BACHERLORS,ABOVE 30 YEARS,5,5,4,3,3,4,1,2,2,2,1,4,5,3,4,5,1,4,3,3,2,4,4,3,3,5,3,4,4,3
11,RAJDEVI THAKIDEVU JOGENDRA BHAGAT  MA VI,MALE,SECONDARY TEACHER,MASTERS,10-20 YEARS,4,3,3,4,4,4,3,3,4,4,2,5,5,3,4,4,4,5,5,4,3,4,4,3,4,4,3,4,4,3
12,KESHO ANIRUDDHAVATI MA VI,FEMALE,PRIMARY TEACHER,10+2 OR PCL,21-30 YEARS,5,5,3,4,4,5,4,4,4,3,5,4,4,5,4,5,5,5,5,4,5,5,4,5,4,3,4,4,5,4
13,RAJDEVI THAKIDEVU JOGENDRA BHAGAT  MA VI,FEMALE,LOWER SECONDARY TEACHER,BACHERLORS,10-20 YEARS,5,4,4,4,4,4,2,2,2,2,2,2,4,4,2,2,4,4,4,4,2,4,4,4,4,4,4,5,4,4
14,RAJDEVI THAKIDEVU JOGENDRA BHAGAT  MA VI,FEMALE,PRIMARY TEACHER,MASTERS,BELOW 10 YEARS,5,5,4,3,5,4,1,4,1,4,4,4,4,4,4,3,4,5,5,5,5,5,4,4,5,4,1,5,5,5
15,RAJDEVI THAKIDEVU JOGENDRA BHAGAT  MA VI,FEMALE,PRIMARY TEACHER,MASTERS,21-30 YEARS,5,1,1,1,4,4,1,1,1,3,1,1,3,4,1,1,3,1,4,4,4,3,4,4,4,4,4,4,5,4
16,RAJDEVI THAKIDEVU JOGENDRA BHAGAT  MA VI,FEMALE,PRIMARY TEACHER,MASTERS,21-30 YEARS,5,1,1,1,4,4,1,1,1,3,1,1,3,4,1,1,3,1,4,4,4,3,4,4,4,4,4,4,5,4
17,RAJDEVI THAKIDEVU JOGENDRA BHAGAT  MA VI,FEMALE,OTHERS,BACHERLORS,21-30 YEARS,4,1,1,1,3,3,1,1,1,3,1,1,3,4,1,1,3,1,4,4,4,3,3,3,4,4,4,4,5,4
18,RAJDEVI THAKIDEVU JOGENDRA BHAGAT  MA VI,FEMALE,PRIMARY TEACHER,10+2 OR PCL,ABOVE 30 YEARS,5,1,1,1,5,5,1,1,1,3,1,1,3,4,1,1,3,1,4,4,4,3,4,4,4,4,4,4,5,4
19,RAJDEVI THAKIDEVU JOGENDRA BHAGAT  MA VI,FEMALE,OTHERS,10+2 OR PCL,21-30 YEARS,5,1,1,1,4,4,1,1,1,3,1,1,3,4,1,1,3,1,4,4,4,3,4,4,4,4,4,4,5,4
21,RAJDEVI THAKIDEVU JOGENDRA BHAGAT  MA VI,MALE,SECONDARY TEACHER,MASTERS,21-30 YEARS,5,5,5,5,5,4,5,5,5,5,3,3,4,4,4,3,4,4,5,4,4,4,4,4,3,4,4,4,4,4
22,RAJDEVI THAKIDEVU JOGENDRA BHAGAT  MA VI,MALE,SECONDARY TEACHER,MASTERS,BELOW 10 YEARS,4,4,4,4,4,4,2,2,3,3,3,1,2,4,2,2,4,2,4,4,3,3,4,4,5,5,4,5,5,4
82,RAJDEVI THAKIDEVU JOGENDRA BHAGAT  MA VI,MALE,PRIMARY TEACHER,MASTERS,BELOW 10 YEARS,5,2,4,2,4,5,4,3,5,2,1,1,4,5,5,1,2,1,5,4,3,2,1,4,4,5,1,4,2,1
83,RAJDEVI THAKIDEVU JOGENDRA BHAGAT  MA VI,FEMALE,OTHERS,SLC/SEE,10-20 YEARS,2,1,3,2,3,3,4,3,3,3,4,2,4,5,5,3,4,2,4,5,5,4,4,3,4,2,4,5,3,3
